投诉问题,投诉对象,发布日期,投诉要求,投诉内容
 钓鱼纠纷,宁波银行,2022年06月01日 19:15," 改善服务,赔偿",宁波宁来花虚假活动，组团瓜红包5月14已经结束了红包一直拖着不给找客服没都让发信息登记，封了又不给。这次又在微信视频号直播又说申请贷款有微信红包。结果申请也是不给发。找客服又是老一套登记。然后拖着不给。过久到时又以活动结束了不给
" 功能限制,冻结账户,客服服务态度差",宁波银行,2022年06月01日 12:59," 退款,赔偿,解封账户",本人已昨天看到宁波银行充值话费有优惠 于是就从工商银行卡转账到宁波银行电子银行卡 没曾想把钱转账成功之后 竟然无法使用宁波银行电子账户卡消费和转账 只能转入 不能转出 那我要这电子账户卡有什么用？ 具体什么原因也没有给我说明 太欺负人 要求宁波银行给我退还51块钱 并且给我道歉 只准转入 不能转出这些问题我一概不知 要不然我也就不可能把钱转进宁波银行电子账户卡里了
" 宁波银行电话短信骚扰,影响正常生活",宁波银行,2022年05月31日 12:02," 道歉,停止催收,协商还款",本人在有钱花与宁波银行上面借的，因为连续两个月疫情影响，造成资金链断裂，逾期无法，期间催收不断，各种电话短信，还致电紧急联系人。本人多次致电官方申请协商还款，停止催收，都是推给贷后，即催收，严重影响正常生活。合约中有注明因不可抗力因素造成的逾期是可以协商的。而且我并未失联，却透露我的个人隐私，与紧急联系人致电，已经侵犯我的个人隐私权。
 钱自动扣款,宁波银行,2022年05月30日 12:36, 退款,刚喝完酒 不知道怎么就扣款了 神志不清 如果可以查一下付款方电话
 征信出现循环贷款额度,宁波银行,2022年05月27日 16:06, 解释,打印征信显示有循环贷款额度，授信额度40000，生效日期：2022.01.25，到期日期2023.01.25，已用额度--，能解释下这是怎么有的
 违法异常放贷,宁波银行,2022年05月26日 23:59," 解释,赔偿,删除征信记录,道歉",2022.5.26今天查询个人征信，发现多了一笔贷款记录，是2022年5月4日，宁波银行给我贷款15000元，现在显示余额19元。非本人办理贷款，2022年5月4日全天在公司上班，根本没办理乱七八糟的贷款，请给予解释！
 借款有保费,宁波银行,2022年05月26日 13:20," 退款,赔偿,处罚",翼支付平台借款，宁波银行放款有保费，没有提前告知，国家也不允许，要求退还
 违法放贷,宁波银行,2022年05月26日 10:08," 解释,解释并更改记录",查询个人征信，发现我多了一次宁波银行贷款28400元，显示2021.12.6贷款，余额0。确定本人未贷过宁波银行的款，也未使用过。现要求宁波银行解释清楚，并更正记录。
 虚假宣传,宁波银行,2022年05月25日 11:27, 赔偿,参加了组队瓜分500的活动，50人平分500，实际根本就没有，完全属于虚假宣传啊
 虚假宣传,宁波银行,2022年05月24日 20:54," 解释,改善服务,赔偿",前一段时间宁波银行弄了一个组队领红包的任务，我参加了之后，他却没有如约给我红包，我现在要求他补偿红包给我
 虚假宣传,宁波银行,2022年05月24日 18:28, 赔偿,宁波银行的公众号，宁波银行宁来花发起了一个组团活动，说是团满50人就可以瓜分500元，即每人10元的微信红包，于5月13号下午3点开奖，到了当日下午三点，开奖的小程序根本进不去就说奖品已经领完，然后说4点再开一次，结果开出来的都是积分。我看到这个活动邀请了家里朋友去参加，一共注册了5个号的小程序，现在却因为无法开奖或者开奖的奖品与当时活动宣传的不符没有领到奖品，宁波银行存在虚假宣传恶意让人注册小程序的欺骗行为，要求补发我跟我家人朋友一共50元的微信红包
 虚假活动,宁波银行,2022年05月24日 10:50, 赔偿,虚假活动参团瓜分活动金中途改规则未得到活动金
 虚假活动,宁波银行,2022年05月24日 10:46, 赔偿,参团瓜分活动金，中途私改规则，参团者未得到活动金
 虚假活动,宁波银行,2022年05月24日 10:43, 赔偿,搞虚假活动参团瓜分活动金，中途私改规则，参与者无法得到活动金
 虚假宣传,宁波银行,2022年05月23日 13:36, 赔偿,该银行宁来花公众号推出一个参团瓜分现金红包活动，本人参加后瓜分却只给了1000积分，无红包。活动中临时更改规则属于违法行为，根据消费者权益保护法，活动开始后都以活动开始时的规则作为标准，临时更改规则擅自断定账号不发奖励属于恶意欺诈消费者。要求进行赔偿，按照原有规则发放奖励，如果无法得到事宜解决，那就是虚假宣传、恶意套取公民身份证等信息
 虚假活动,宁波银行,2022年05月23日 08:56, 赔偿,搞虚假活动中途私自改规则，至参团未得到红包希望得到应有补偿
 虚假宣传,宁波银行,2022年05月23日 08:02, 赔偿,50人组团瓜分500红包活动涉嫌虚假宣传，最后14号分红包只有500积分！创建虚假活动，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包！活动浪费大量时间却一分都没分到！并且还零时修改活动规则性质严重恶劣！最后我只有500积分，啥也没有
 信用卡自动分期,宁波银行,2022年05月22日 12:00, 改善服务,宁波银行信用卡自动分期无法自动关闭，提前还款还有手续费
 虚假活动,宁波银行,2022年05月22日 01:19, 赔偿,参团瓜分活动金，中途私改规则，参与者未得到活动金
 虚假活动,宁波银行,2022年05月22日 01:15, 赔偿,搞虚假参团瓜分活动金活动，中途私改规则，参与者无法拿到活动金要求赔偿
 虚假活动,宁波银行,2022年05月22日 01:03, 赔偿,虚假活动参团满瓜分活动金，中途私改规则，
 虚假活动,宁波银行,2022年05月22日 00:55, 赔偿,搞虚假活动，中途单方改活动规则最后不兑现活动金
 虚假宣传,宁波银行,2022年05月21日 10:41, 赔偿,这么大一个银行，难得搞次活动，可活动规则说变就变
 客服服务态度差,宁波银行,2022年05月20日 19:40, 协商还款,受疫情影响，贷款全面逾期了，跟银行协商还款都没有一个结果，回电都是第三方来电，都是不是协商，是催还款，如果有这么多资金至于逾期吗？希望是银行直接回复，不要让第三方来打扰
 虚假宣传,宁波银行,2022年05月20日 16:06, 赔偿,宁波银行开团活动恶意修改规则  反馈客服一直不处理
 虚假宣传,宁波银行,2022年05月20日 14:59," 改善服务,赔偿",前一段时间宁波银行做了一个组队领红包的活动，当时说好组团50个人就发500块钱红包，之后我正常组队，但是他没有给我红包只给了我一点没用的积分打发。我现在要求宁波银行补发红包
 直接贷的欠款,宁波银行,2022年05月19日 18:01, 协商还款，撤诉,本人所有贷款全面逾期，所欠宁波银行直接贷一次性还不上，但有还款意愿，需要协商还款，但对方不同意
 虚假宣传,宁波银行,2022年05月19日 17:56, 赔偿,宁波银行前几天做了一个活动，当时约定好组队50个人，然后可以分500块钱微信红包。我按照要求正常组队，最后活动结束没有给我红包，只给了一点积分打发。我现在要求他按照之前定的规则给我补发红包
 虚假宣传,宁波银行,2022年05月19日 16:23," 解释,改善服务,赔偿",宁波银行创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为，活动与实际不服，虚假宣传。何止诱导拉人，拉完人还诱导贷款
 虚假宣传,宁波银行,2022年05月19日 16:14, 赔偿,开奖之前改规则，虚假宣传，明明是必中的，就是不给。给客服反映了也不解决问题
 活动内容前后不符,宁波银行,2022年05月19日 16:11, 赔偿,参加活动前说是入团均分收益，活动领奖的时候改了规则，前后不符
 开奖之前改规则,宁波银行,2022年05月19日 16:11, 赔偿,开奖之前改规则，活动刚出的时候不是这个规则
 虚假宣传,宁波银行,2022年05月19日 16:00," 改善服务,赔偿",参团后  开奖没有红包只有分  虚假宣传
 虚假宣传,宁波银行,2022年05月19日 10:59," 解释,赔偿",宁波银行推出宁来花组团拉人活动，说组团满50人瓜分500现金，而本人开团组满满50人后，宁波银行却只给1000积分，拒发红包。
 虚假宣传,宁波银行,2022年05月19日 10:50," 解释,赔偿",宁波银行宁来花推出组团瓜分红包活动，要求为参团满50人平分500元现金红包，而本人瓜分时却是1000积分，没有红包，身为银行不讲信益。
 虚假宣传,宁波银行,2022年05月19日 10:25, 赔偿,宁波银行员工发布任务说开通宁来花只要成功出额度就能获得任务佣金以及银行发的微信红包。结果我开通了，没有得到相应的报酬！而且这个员工态度很嚣张！ 我多次跟宁波银行客服反馈此事，他们每次都是敷衍了事！银行给员工任务是拉十个人开通宁来花就能获得一台苹果13手机！并不在乎员工采取什么手段获取！(包括坑蒙拐骗)银行的这种行为等于默认了此事，充当保护伞！我希望有关部门能够对此事此人做出相应的处罚！感谢了
 虚假宣传,宁波银行,2022年05月19日 10:24," 解释,赔偿",宁波银行员工发布任务说开通宁来花只要成功出额度就能获得任务佣金以及银行发的微信红包。结果我开通了，没有得到相应的报酬！而且这个员工态度很嚣张！ 我多次跟宁波银行客服反馈此事，他们每次都是敷衍了事！银行给员工任务是拉十个人开通宁来花就能获得一台苹果13手机！并不在乎员工采取什么手段获取！(包括坑蒙拐骗)银行的这种行为等于默认了此事，充当保护伞！我希望有关部门能够对此事此人做出相应的处罚！感谢了
 虚假宣传,宁波银行,2022年05月19日 08:49," 退款,免手续费",2021年5月 宁波银行客服致电我说推出年化只要4的低息产品万利金 忽悠我借万利金 却全然不告知提前还款要收手续费 而且一年后本人发现宁波银行万利金产品真实年化远远超过宣传利率 堪比高利贷 本人现在要提前全额还款只有分期更改选项没有提前还款选项还要全额收取手续费！！
 提前结清要还全年利息,宁波银行,2022年05月18日 18:28, 提前结清借款取消利息,京东金融金条合作银行，借款霸王条款，提前结清还款，要收全部利息，合同上没有注明主动结清还款需要全部利息，条款模糊，涉嫌欺诈
 虚假宣传,宁波银行,2022年05月18日 16:16, 赔偿,宁来花涉嫌虚假宣传，活动开始前说拉50人平分500，活动开始时临时修改规则，然后活动进不去，进去了只给了500积分
 虚假宣传,宁波银行,2022年05月18日 16:09," 解释,赔偿",公众号的拉人活动，写的是平分500块，最后人够了，不给钱，给没用的积分，一个银行做出这种活动，真是脑子秀逗够丢人
 虚假活动虚假宣传,宁波银行,2022年05月18日 16:06, 赔偿,活动开奖之前和之后两个规则，开奖前一秒就改规则，昧良心啊，找客服客服装死
 分期付款,宁波银行,2022年05月18日 16:05, 不讲诚信,因为我逾期了，然后给第三方公司催收，因为我之前把问题都说了，也同意分期了，第三方承包〈宁波银行直接贷〉逾期催收工作人员说，可以分期两年之内还完十万零一千，总利息3600，其他不要理会，直接到2021.12.15号我给宁波银行直接工作人员说，我分期利息是不会变的吧。，谁知道，工作人员说，我已经逾期好久了，根本没有分期，我说是你们公司把催收，承包给第三方公司催收，并且他们说宁波银行同意分期的，现在我已经还了五万七千多，，但是看到APP直接贷，显示我还欠六万，还不包括利息，你这样不是让我死吗，我一个月就四千多的工资，累死累活努力还钱，天理何在，是不是要把人直接逼到绝路，现在疫情期间，也没什么班上，都是省吃俭用，来还，到头来，一个月工资都不够还利息
 虚假宣传,宁波银行,2022年05月18日 16:03, 赔偿,说好的瓜分500块，最后人够了，钱没有，拿没用的积分，分不起就不要搞这种噱头，一个银行，丢人现眼
" 虚假活动,虚假活动,虚假活动",宁波银行,2022年05月18日 16:00, 赔偿,希望制裁该银行并给予我补偿，希望尽快解决这个问题
 虚假宣传,宁波银行,2022年05月18日 14:32," 解释,改善服务,赔偿",之前投诉过他们，他们当天给我回电话了，说下周一也就是16号给我补偿，把兑换码发在短信里面把兑换码放在短信里面发给我，但是今天周三了，还是没有收到任何短信，找了他们的客服，只说帮我登记，然后就没有后续了，
 虚假宣传,宁波银行,2022年05月18日 13:36, 即期结汇,前两个月宁波银行业务经理夏建初来到本公司办公室提议本公司到宁波银行开户，大谈美金结汇可以比浦发农业银行高，但没有提示任何风险，后来让企业主签定了一些文件然后拿走了。企业开户让客户把货款打到了宁波银行，按他们指导操作顺利结汇发现确实比农业银行高了300个基点，农业银行一般高100个基点，直到第三笔，操作步骤很复杂才引起企业主的警觉，一再询问这是什么是我们需要的即期结汇吗，夏经理总是避重就轻不回答，而我们发现这个可能是远期，因为网银上查到说交割日是2023年5月，这不是我们企业需要的即期，所以在群里强烈要求宁波银行改正自己的错误，现在希望有关部门能够看到这个投诉，帮助我们。因为这个夏经理说不可撤！引诱我们开户操作等我们昨天警觉的时候现在说不可撤销，让我们感到非常焦虑。我们是个体小企业从事生产出口，从来没有做过金融方面的事，对金融完全不涉及不了解。多年来都是跟浦发银行和农业银行即期结汇货款，从来不知道宁波银行有这样的操作，未来汇率升值或贬值我们公司会面临金融风险无论概率多大我们都不愿意接受。
 活动涉嫌虚假宣传,宁波银行,2022年05月18日 12:46," 解释,赔偿",宁波银行宁开花组团50人平分500活动，涉嫌虚假宣传。平分应该一人10元，可是我只得了2元，我朋友也是2元投诉以后补偿了。我也希望得到补偿。否则我会去银监会投诉虚假宣传。
 虚假宣传,宁波银行,2022年05月18日 11:29, 赔偿,创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为，活动与实际不服，虚假宣传。何止诱导拉人，拉完人还诱导贷款一共3个手机号应该有30红包的，但是现在一个都没有。13626870***
 虚假宣传,宁波银行,2022年05月18日 08:25, 赔偿,宁波银行宁来花公众号组团五十人平分五百元红包活动，到了抽奖时间，进不去活动，过了一个小时进去了，不给红包！虚假宣传！
 私自修改活动规则,宁波银行,2022年05月17日 22:36, 赔偿,当时活动规则说了组队人数到达50人平分一人10元，后面修改了活动规则改成了先到先得，而且金额并没有平分有人获得了20红包，有人却没有。要求投诉
 申请沟通罚息减免,宁波银行,2022年05月17日 20:17," 退款,过去半年账单罚息减免",使用了宁波银行信用卡，被告知恶意透支，强行冻结卡片，导致只能最低还款，最近半年额外收取了数千元利息。上个月还记一笔逾期记录。这个月资金缓解一些，想着一次性清理掉宁波银行的负债，申请和银行沟融 减免一些利息的支出，银行完全不给回旋的沟通的机会，对最终的结果不接受。
" 协商还款,个性化分期",宁波银行,2022年05月17日 19:25, 个性化分期期数,本人宁波银行信用卡20万逾期，银行开始走诉讼流程。本人多次跟银行协商进行个性化分期还款，且根据自己最大能力，先还款5万，后面15万进行分期还款。但银行表示最大分期期数只能24期。现在疫情影响，大环境不好，自己目前的收入也偏低，分24期的话每个月得还6千多，自己有强烈的还款意愿，但暂时无能力进行每月6000的还款。希望能够延长分期期数，但银行表示限定了最长只有24期。按商业银行信用卡业务监督管理办法》第70条规定：在特殊情况下（特殊情况是指天灾人祸，被坑被骗，意外事故等），确认信用卡欠款金额超出持卡人还款能力、且持卡人仍有还款意愿的，发卡银行可以与持卡人平等协商，达成个性化分期还款协议。个性化分期还款协议的最长期限不得超过5年（60个月）。个人诉求：本人有强烈还款意愿，但只分24期的话，暂时无每月还款能力，希望能与银行协商延长分期还款期数。
 奖品不发,宁波银行,2022年05月17日 19:06, 赔偿,红包补发红包补发红包补发红包补发红包补发
" 虚假宣传,资金流失",宁波银行,2022年05月17日 17:56," 改善服务,赔偿",宁波银行创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为，活动与实际不服，虚假宣传。何止诱导拉人，拉完人还诱导贷款
 虚假宣传,宁波银行,2022年05月17日 17:50," 解释,改善服务,赔偿",宁波银行创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，账户17260022***参加组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为，活动与实际不服，虚假宣传。何止诱导拉人，拉完人还诱导贷款
 虚假宣传,宁波银行,2022年05月17日 13:38, 赔偿,建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为。下无三点准时进去的时候故意限制不给领，后面突然把规则改了，人人瓜分红包的，后面一直进不去，非常生气，浪费了我那么多时间。欺诈顾客。
" 虚假宣传,客服服务态度差",宁波银行,2022年05月17日 13:36, 赔偿,宁波银行虚假宣传组团满50人平分500元，开奖时又说先到先得，不受信用，打客服电话敷衍了事，各种借口，不给兑现。
 虚假宣传,宁波银行,2022年05月17日 13:24, 赔偿,以50人组团瓜分500的标题，引诱客户组团，非法搜集客户资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为，活动与实际不服，虚假宣传。何止诱导拉人，拉完人还诱导贷款
 红包变积分,宁波银行,2022年05月17日 11:21," 赔偿,补发赠品",宁波银行宁来花搞的组团活动，说好的平分500元，每人10元，结果自己私自修改活动规则，红包变积分，请求赔偿
 虚假宣传,宁波银行,2022年05月16日 22:54," 解释,赔偿",该银行宁来花公众号推出一个参团瓜分现金红包活动，本人参加后瓜分却只给了1000积分，无红包。
 虚假宣传,宁波银行,2022年05月16日 22:09," 解释,改善服务,赔偿",宁波银行推出宁来花组团平分活动，活动规定组团满50人瓜分500现金，而瓜分红包时宁波银行却只给1000积分，作为金融营业机构，无任城信可言。
 不同意协商挂账停息,宁波银行,2022年05月16日 22:00, 延长期数、挂账停息,由于被人欺骗，被诱导在直接贷贷了111***元，4月份开始逾期，本人多次打电话给银行客服说明情况，希望能延长期数或者协商挂账停息，银行客服回复没有这个政策。在2022年04月26日，银行客服打电话过来说可以等我存够钱后再帮我申请免息还本金然后进行清算。2022年05月份以来，宁波银行法务隔段时间打电话过来催收，跟他们说明情况同时也表明我有强烈的还款意愿，但也不同意协商，说要给发律师函和起诉我。一直以来我的信用一直都很好，从来没有逾过期，但是遇到这件事后，一切都改变了。对于贷款这件事我也有错，但我也不想不还款，现在每天很担心接到催收电话，我真希望能和银行协商还本金，停止一切催收。
 虚假宣传,宁波银行,2022年05月16日 21:58," 解释,赔偿",宁波银行推出宁来花组团拉人活动，活动要求参与组团满50人平分500现金红包，而本人参加组团组满50人后，瓜分红包时宁波银行却只给1000积分。
" 虚假宣传,赖账",宁波银行,2022年05月16日 21:47," 解释,赔偿",宁波银行推出宁来花组团拉人活动，说组团满50人瓜分500现金，而本人参加组团组满50人后，瓜分红包时宁波银行却只给1000积分，拒发红包。
" 功能限制,合作商户不诚信,冻结账户,资金流失",宁波银行,2022年05月16日 20:03," 退款,解释,改善服务,赔偿",宁波银行饿了么联名信用卡无故审核不通过，导致损失邀请红包，要求补偿
 异常贷款记录,宁波银行,2022年05月16日 19:11," 解释,赔偿",个人从来没有使用过宁波银行的卡，最近查征信，发现多了一笔贷款记录，是2021年12月31日，宁波银行给我贷款1w元，现在余额只有几百，我想知道这笔钱是谁贷的，银行为什么会有我的个人信息，贷的钱又被谁花了
 虚假宣传,宁波银行,2022年05月16日 18:40," 改善服务,赔偿",图一是参加活动的规则，图二是开奖之前改了规则，联系客服，几天没有人解释说明
 虚假宣传,宁波银行,2022年05月16日 18:28," 解释,赔偿",宁来花50人组团分500红包活动不给红包，客服不回复
 虚假宣传,宁波银行,2022年05月16日 18:19, 赔偿,50人组团瓜分500红包活动涉嫌虚假宣传，最后14号分红包只有500积分！创建虚假活动，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包！活动浪费大量时间却一分都没分到！并且还临时修改活动规则性质严重恶劣！
" 合作商户不诚信,虚假宣传",宁波银行,2022年05月16日 18:10," 退款,赔偿",宁波银行旗下宁来花公众号，虚假宣传，让人去拉人分红包，50人组队平分500人民币，结果开奖只给积分，我拉了亲朋好友十几个人最后都被骗了，太气人了
 虚假宣传,宁波银行,2022年05月16日 18:02, 退款,以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是500积分，没有活动开始说的红包，存在严重的欺诈行为 最后发放的不是10元红包给了500积分欺骗客户
 虚假宣传,宁波银行,2022年05月16日 17:59, 赔偿,以50人组团瓜分500的标题，引诱客户组团，非法搜集客户资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为，活动与实际不服，虚假宣传。何止诱导拉人，拉完人还诱导贷款
 虚假宣传,宁波银行,2022年05月16日 17:58, 赔偿,我本人通过正规渠道和途径，通过宁波银行宁来花微信公众号授权个人手机号13812******合理合法参与组团分现金活动，参与之前活动规则写平分现金奖励。开奖后，规则变成奖励限量，只有100积分。虚假活动，虚假宣传，还套取了我们用户信息，手机号、微信号等，希望补偿红包10元。
 虚假宣传,宁波银行,2022年05月16日 16:50, 赔偿,宁波银行宁来花公众号组团五十人平分五百元红包活动，到了抽奖时间，进不去活动，过了一个小时进去了，不给红包！虚假宣传！
 虚假宣传,宁波银行,2022年05月16日 16:44, 赔偿,宁波银行宁来花公众号前天组团分红包活动，组团五十人成功，到了抽奖时间进不去，最后进去了，不给红包
" 客服不处理,虚假宣传",宁波银行,2022年05月16日 16:16, 赔偿,50人组团瓜分500红包活动涉嫌虚假宣传，最后14号分红包只有500积分！创建虚假活动，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包！活动浪费大量时间却一分都没分到！并且还零时修改活动规则性质严重恶劣！最后我只有500积分，啥也没有！
" 客服服务态度差,活动虚假",宁波银行,2022年05月16日 16:12, 赔偿,50人组团瓜分500红包活动涉嫌虚假宣传，最后14号分红包只有500积分！创建虚假活动，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包！活动浪费大量时间却一分都没分到！并且还零时修改活动规则性质严重恶劣！
" 钓鱼纠纷,虚假宣传,终端设备故障,客服服务态度差",宁波银行,2022年05月16日 16:09, 赔偿,50人组团瓜分500红包活动涉嫌虚假宣传，最后14号分红包只有500积分！创建虚假活动，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包！最后啥也没领到！
" 合作商户不诚信,虚假宣传,客服服务态度差",宁波银行,2022年05月16日 16:06," 解释,改善服务,赔偿",我前两天参加了宁波银行的组团分红包活动五十个人分500红包 后面我去开奖的时候提示谢谢参与 只给了1000不中用的积分 和活动规则详情上的瓜分红包不符合 他们这次完全是  虚拟宣传设立虚假活动
" 虚假宣传,客服服务态度差,理直气壮不给",宁波银行,2022年05月16日 16:05, 赔偿,以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是1000积分，没有活动开始说的红包，存在严重的欺诈行为
" 钓鱼纠纷,虚假宣传",宁波银行,2022年05月16日 15:51, 赔偿,创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，直到下午领取的却是积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为！望严惩！
 虚假宣传,宁波银行,2022年05月16日 15:42, 活动显示10元红包,参加宁波银行活动  参团划分红包  结果完成活动给的积分  与活动显示不符  属于虚假宣传
 涉嫌虚假宣传，拉人头,宁波银行,2022年05月16日 15:33," 赔偿,赔偿红包",说是分红包，到最后给的积分，拉那么多人，欺诈用户
 虚假宣传,宁波银行,2022年05月16日 15:30," 解释,赔偿",参与瓜分红包活动，开奖变成积分，虚假宣传，虚假引流拉人头
" 虚假宣传,拒不发货",宁波银行,2022年05月16日 15:22," 赔偿,道歉",参与活动手机号18084072***，宁波银行这个活动涉嫌虚假宣传，我只有这一个号参与活动，不让领取奖励。而且我朋友领取奖励也是2块钱，请问这是平分吗？平分不是一人十块钱吗？我需要宁波银行给我个说法。如果处理不好我还会选择去银监会投诉。
 虚假宣传,宁波银行,2022年05月16日 15:19, 赔偿,本人前几日参与宁波银行宁来花50人组团平分500元红包的活动，参与手机号是17834560***，活动人数达到50后，在规定时间内开奖，却显示已领奖，后发现奖励并不是10元红包，而是100积分。要求宁来花补发活动奖励10元。
 虚假宣传,宁波银行,2022年05月16日 15:17, 赔偿,创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为，活动与实际不服，虚假宣传。何止诱导拉人，拉完人还诱导贷款
 虚假宣传,宁波银行,2022年05月16日 15:12, 补发赠品,宁波银行宁来花公众号弄了一个50人组团领红包的活动，50个人分500红包，费了九牛二虎之力把人弄够了，。最后开奖竟然是给的积分。这不是虚假宣传嘛。我要那积分有啥用，能当钱花吗。开玩笑呢？
 客服服务态度差,宁波银行,2022年05月16日 11:03, 客服态度强硬,从去年洪水疫情   到现在又疫情  想跟客服协商一下提前还款都不让还  利息特别高想协商一下还款事宜 也是态度恶劣   简直是霸王条款  一点不给客户着想
 虚假宣传,宁波银行,2022年05月16日 08:47, 赔偿,宁波银行宁来花组织活动，50人组团平分500元，达到标准后，宁波银行不履行承诺，不发奖金，领奖页面进不去，红包不能兑现，虚假宣传，性质恶劣，强烈要求赔偿！！
 虚假宣传,宁波银行,2022年05月16日 08:28, 赔偿,规则写的组团瓜分500元红包，开奖变成了积分。
" 钓鱼纠纷,合作商户不诚信,虚假宣传,终端设备故障",宁波银行,2022年05月15日 13:24," 解释,改善服务,赔偿",创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为文
" 钓鱼纠纷,合作商户不诚信,虚假宣传,终端设备故障",宁波银行,2022年05月15日 03:10," 解释,改善服务,赔偿",创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为
" 钓鱼纠纷,虚假宣传,终端设备故障",宁波银行,2022年05月15日 03:04," 解释,改善服务,赔偿",创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为
" 钓鱼纠纷,虚假宣传,终端设备故障",宁波银行,2022年05月15日 03:01," 解释,改善服务,赔偿",创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为
" 钓鱼纠纷,虚假宣传,终端设备故障",宁波银行,2022年05月15日 02:59," 解释,改善服务,赔偿",创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为
" 钓鱼纠纷,虚假宣传,终端设备故障",宁波银行,2022年05月15日 02:55," 解释,改善服务,赔偿",创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为
" 钓鱼纠纷,虚假宣传,终端设备故障",宁波银行,2022年05月15日 02:52," 退款,解释,赔偿",创建虚假活动，以50人组团瓜分500的标题，引诱客户组团，非法搜集客服资料，组团成功后用户长时间无法进入活动页面领取红包，即使进入也是2元红包跟500积分，没有所谓宣传的50人瓜分500元，存在严重的欺诈行为
 虚假宣传,宁波银行,2022年05月14日 23:28, 赔偿,宁波银行组团活动规则写着拉50个人平分500块，今天临时变成了先到先得，还给我一个没用的积分，我拉五十个人拉半天
