投诉问题,投诉对象,发布日期,投诉要求,投诉内容
" 客服服务态度差,暴力催收,影响本人工作生活",南京银行鑫梦享,2022年06月09日 21:41," 解释,赔偿",本人因被朋友骗，在南京银行鑫梦享办理贷款，本人自己一分未动都借给朋友，贷款中介还收取本人好处费，本人每个月工资三千五，家里人工资不到三千，本人还被银行起诉，我也在起诉我朋友，钱要到了第一时间还给南京银行，本人和南京银行沟通，所有情况都和银行坦白了，上期的账单本人和母亲东拼西凑处理了，本月的账单实在无力偿还，在和银行沟通说明本人情况之后，第三方催收公司和外访人员继续给本人打电话，我从亲戚朋友没周转到钱，催收人员表示还要继续上门外访。南京银行于4月8日，5月7日，6月8日在未通知本人的情况下对我进行实地走访，并对其他人告知本人的负债情况，第一次在本人办公室当着很多同事和居民的面让本人跟他们沟通，第二次外访人员在本人为居民做核酸，在本人穿着防护服等防疫装备时候让我出来和他们谈话，看到我同事在维护秩序，催收人员威胁我说要把我送进去。催收外访人员已经对我工作造成严重影响，领导和同事都知道了，要扣我工资，单位要开除我，扣我工资已经影响到我收入，如果我被开除，生活更会不堪重负，已经严重影响到我工作和生活了，本人不是不还，是真的遇到困难了，南京银行催收人员不管不顾本人的生活困难，还在继续加强对本人进行加大催收力度，本人希望南京银行给本人一个合理解释！
 虚假宣传，未告知义务,南京银行鑫梦享,2022年06月07日 16:25, 提前还款违约金免除,在本人提出以下几点质疑： 1. 本人在申请贷款时，不清楚南京银行的合同条款，且合同条款里面没有重点将提前还款违约金已文字加粗或者以更清楚明了的方式体现。南京银行就是在欺诈消费者，和消费者玩文字游戏。 2. 贷款的消费用途并不是用于装修，关于消费凭证和消费用于属于不实信息。南京银行工作人员提供虚假信息材料来隐瞒重要事实来让客户完成下款，而她自己完成业绩。目前在大力扶持小微和推进普惠金融，南京收取如此的高的违约金，严重背离政策。在目前经济如此艰难的环境情况下，为了一己之私，陷广大国民于水火之中，实在是用心险恶，是国民财富的吸血鬼，建议银监会能彻查此事，及时终止这种霸王条款。
" 客服服务态度差,暴力催收",南京银行鑫梦享,2022年06月06日 18:32," 改善服务,停催，协商还款",我在唯品会平台取现，资方是南京银行，上个月说是协商还款，平台不允许，直接不给机会，现在因为西安之前两个月的疫情反复导致收入锐减，多个平台无法还款都有协商成功，而他们不允许
 Ncard会员权益,南京银行鑫梦享,2022年06月06日 17:56," 退款,赔偿",南京银行Ncard信用卡主动跳广告宣传：充一年期会员88元，可免费兑换京东或者网易音乐等会员，但是兑换期限提示文案不充分，只说明有效期30天，既然是花钱购买的服务，为什么会有有效期？而且所谓的30天有效期极容易被忽略，容易导致过期。本人计划是兑换到其他账户，结果发现已经过期。前后两次打电话给南京银行信用卡客服95302，要求将兑换券延期补偿处理，结果都没有得到明确的答复，客服只会机械回答书面内容，不帮忙解决问题，没有给出明确的回复建议。客服只会强调霸王条款，30天过期不予处理，这明显是不符合消费者权益，我是花钱购买的会员服务，可以兑换的会员权益为什么就过期没有了？正常的处理流程客服受理之后，也没有未在承诺的时间内给与反馈，即不反馈处理结果。我现在诉求要么给我相应的权限兑换补偿，要么就退还相应的会员权益费用。
 利率过高,南京银行鑫梦享,2022年06月05日 16:53," 退款,赔偿,退息",年化率超出法定24 超出部分本人不认可。
 暴力催收,南京银行鑫梦享,2022年06月02日 11:55, 暴力催收,自逾期开始，南京银行一天几十条短信，无数个电话暴力催收，还让催收人员加我微信，威胁我，恐吓我。我目前的经济状况，实在还不了款，工资自每月十号发放改到每月25号发放。并且5月1号到5月20号，因为疫情全面封城，严重影响工作。只是想跟银行协商下晚几天还款，都不行，国家现在严厉打击软暴力催收。麻烦规范下催收。另外逾期的利息，我会按照国家的法律待工资发放继续上缴。麻烦催收有点人性。谢谢
" 客服不处理,不予退款,优惠券问题",南京银行鑫梦享,2022年06月02日 10:08," 退款,改善服务,恢复优惠券",南京银行Ncard信用卡宣传：充一年期会员88元，可免费兑换京东或者网易音乐等会员，但是兑换期限提示文案不充分，只说明有效期30天，因不同客户对30天的理解不一样，容易导致过期。本人计划是在有效期最后一天兑换，结果发现已经过期一天。前后三次打电话给南京银行信用卡客服，要求将兑换券延期，如果不给延期要求退会员费88元。客服受理之后，未在承诺的时间内给与反馈，即不反馈处理结果也不给退会员费。
" 暴力催收,爆通讯录,打电话恐吓家里老人,打电话给单位催收",南京银行鑫梦享,2022年06月01日 19:02," 停止骚扰,解释,不能暴力催收",疫情原因单位工资发放时间不稳定，收入低微，催收打电话给家人朋友催收，还打电话给单位同事，严重影响我的工作和生活，家里老人听到催收电话，吓得生病了。催收电话可打电话给我，但不到打电话吓唬我家人朋友，家里老人身体不好。不要打电话给单位催收
" 虚假宣传,违约金,不诚信",南京银行鑫梦享,2022年06月01日 15:57," 退款,赔偿,取消违约金",贷款时南京银行贷款专员说了年华是6.8左右，实际客户端显示为10.8，另外贷款专员说还款满一年的话，提前还款不需要其它费用，但是现在提前还款还需要违约金5%，客户端的合同全部都是电脑端字体，也不知道合同是否被更改，原先线下贷款时的合同已经无法确认了
 催收,南京银行鑫梦享,2022年06月01日 13:54," 解释,改善服务",我在南京银行还有五期还款每期2700多，因为这几年失业，投资失败，家里人生病经济一直紧张，之前南京银行资产保全部一直跟我联系，每期还款有逾期但都能跟他们沟通好最后还款期限并且每期都还上，现在催收公司在我从没有拒接电话情况下，突然打电话给我父母，他们本来身体就差弄得现在收到刺激，身体感觉不舒服。
" 暴力催收,恐吓",南京银行鑫梦享,2022年05月31日 21:26, 协商,本人通过有钱花平台申请借款，出资方为南京银行，由于本人个人原因导致最后两期账单逾期，多次联系有钱花平台希望可以协商还款，虽然被拒了，但是平台同意停止催收，反而作为出资方的南京银行委托的第三方催收，通过个人手机号对本人进行暴力催收，恶言相向，还威胁要拨打通讯录里的亲朋好友，我投诉到南京银行客服，客服表示第三方催收的行为他们也管不着，很明显就是纵容和默认了第三方催收的行为，我现在希望南京银行停止对本人暴力催收，同意协商还款！
" 客服不处理,暴力催收",南京银行鑫梦享,2022年05月31日 17:13," 赔偿,道歉,作出处罚",暴力催收，高利息，恐吓，盗取用户信息，服务态度差，还要来我家找我
" 虚假宣传,提前还款高额违约金",南京银行鑫梦享,2022年05月31日 11:22," 免除高额违约金,申请提前还款",本来与1月份在南京银行的鑫梦享申请了2笔借款，利息高达14.4%，并且业务员当时说的是可以随借随还的，目前已经还款5个月了，考虑到利息过高，打算提前还款才发现不满6个月不能提前还款，并且业务员还告知提前还款需要收高达5%的违约金。请问南京银行你们这不是高利贷么？现诉求1，希望能提前还款，2，免除高达5%的违约金。
 违约金,南京银行鑫梦享,2022年05月31日 10:08," 退款,赔偿",违约金为什么是逐步减少的，今年年初本想一次性归还，看着违约金是4000左右，今天在一看违约金减少到2000多，归还本金增多了？这是要干嘛，疫情你们开始吃人了吗？
 暴力催收，协商还款,南京银行鑫梦享,2022年05月30日 14:27, 协商还款，停止上门催,去年5月通过第三方在南京银行鑫梦想上申请了诚易贷，本金5万，分48期。和朋友合伙做生意，但是去年钱被朋友骗走，至今未追回，找了厂上班，期间也一直如期还款，今年由于疫情，打卡工资只有3000元，于今年5月份开始逾期，逾期一周，就有催收人员在不通知本人的情况下，上门了。在逾期一周内，催收的电话我一直都有接听，再可以联系到本人的情况下，未经本人同意，直接上门，严重影响了我的生活。希望后面挺止上门，正常对我本人催收。因为我无力偿还剩余贷款，但是我有还款意愿，所以期间也打客服电话，进行协商。今年有南京银行工作人员回电，态度强硬，不同意协商。或者能够延期几天还款。但是必须得还。我找鑫梦想app人工客服也是一口回绝，不可以协商，让找人借，去周转。希望可以与南京银行协商还款。
 征信问题,南京银行鑫梦享,2022年05月30日 12:47, 征信合并,本人之前使用的快易花，额度是循环的。后面发现放款方是南京银行，南京银行给快易花的属于循环额度，现要求南京银行对于本人征信账户予以合并。央行规定循环额度开立循环账户，合并上报征信。
 违约金涉嫌乱收费,南京银行鑫梦享,2022年05月30日 11:56, 取消提前还款违约金,本人于2021年7月和2021年11月共申请南京银行“诚易贷”共计30万元，还款方式为等额本息，年利率10.8%。当时在办理贷款时银行工作人员告知我还款6个月后可提前还款，不用缴纳违约金，但合同上是约定有5%的违约金条款的，我当时提出疑问，能否保证提前还款不收取违约金，银行工作人员答复可以操作，只要还款满6个月后，可协助我们向银行申请不收取违约金。现在我已还款8个月，想提前全额还款，但南京银行告知我们必须缴纳剩余本金的5%作为违约金，没法取消违约金条款，存在办理时欺骗消费者，而且现在几乎大部分银行的信用贷款提前还款不需缴纳违约金，南京银行诚易贷的这个产品设置提前还款违约金条款，存在不合理收费。希望南京银行取消违约金条款的设置！
 协商分期停止催收,南京银行鑫梦享,2022年05月30日 06:06," 改善服务,协商分期",2021年通过我的南京app借款，后来连续因为做生意失败导致逾期，真的困难重重，而今打工赚钱，真心希望能给我充分时间来还清，只要我活着我就愿意承担并偿还债务，请不要联系我家人和工作时间打我催收电话，多一份善良，多一份希望，给一份空间
 爆通讯录，威胁恐吓,南京银行鑫梦享,2022年05月29日 19:56," 道歉,作出处罚,停止骚扰",在唯品会平台借款受疫情影响导致入不敷出，无力偿还，目前在慢慢努力偿还中，对债务还不上表达歉意，强调现在没钱但是有很强的还款意愿，只是需要时间去赚钱，但是催收电话不堪其扰，严重扰乱了我的生活，除了本人以外，还联系通讯录好友，天天发信息，本人要求平台停止骚扰电话和短信，停止催收。
" 利率过高,利息过高",南京银行鑫梦享,2022年05月29日 15:21," 退款,解释,改善服务,立马结清合同",本人在唯品会唯品花取现借款30000元整，分三次借款，已经还了27504，显示我还有将近6000没还，因疫情原因现没有收入，生活都成了问题，之前想协商还，可是银行不同意，之前催收人员给我打过很多电话，我也说明了情况，但是就是不同意协商，之前我都是按期还款的，我希望此平台能免除利息，逾期期间一直罚息，给我的压力实在太大了，现本人没有能力还款，而我仔细算下，一共借3万，一年的利息就3127.54，这还不包罚息，我实在还不上了，希望平台能给我个合理的解决方案，
 暴力催收,南京银行鑫梦享,2022年05月29日 11:20," 改善服务,延期还款",本人因疫情在家困住，无法工作，才刚刚解封，和度小满官方客服沟通协商过下个月中发工资还款，钱也不多，但是我一整个月困住无法工作吃喝花销房租这些，我都在配合国家的安排，也愿意承受逾期的罚息，度小满也答应了，在联系的我的情况下接催收电话的情况下不会乱给紧急联系人打电话，然后仍然有催收在每天打电话，和度小满沟通过后告知我这是南京银行第三方催收，这个催收态度恶劣，在我已经阐述了事实的情况下一口一个我骗了他什么什么的，我何德何能能骗她呢，一个电话一个电话打过来号码都不换的，一直在哪里说的很难听，我已经解释过了现在的处境，我们老百姓遇到疫情都在乖乖的配合国家的安排，这些大企业一点同情心都没有，希望南京银行可以让第三方催收的态度好一点，不要在联系的到我的情况下乱骚扰我的家人和单位
 金融借款,南京银行鑫梦享,2022年05月27日 17:03, 撤销处罚,借南京银行金融贷款。4月26日应于还款，（疫情原因，己于4月29日全部还款）电话协商不上征信。现在己上征信，诉求，消除征信记录。
 过度骚扰,南京银行鑫梦享,2022年05月27日 14:47," 解释,改善服务",疫情原因单位工资发放时间不稳定，本人因单位问题常被调去高速路口卡点劝返外地车辆，5月25日鑫梦享客服打了三个电话，因本人在工作均为接到电话，遂鑫梦享客服打了同事的电话，接到同事电话后，本人与南京银行经理联系并承诺5月26日还款，5月26日因加班原因，晚上十点下班后便立即前往银行存款，5月27日上午无扣款短信，下午鑫梦享客服打了我手机一通电话，我没有接到后，开始打我单位座机号码，连打了好几个且接通就挂断，严重影响我单位工作，要求南京银行鑫梦享对该客服做出处罚及改善后续骚扰问题
 协商还款,南京银行鑫梦享,2022年05月27日 14:12, 协商还款停止骚扰,今年南京疫情导致还款困难，一直在跟南京银行沟通缓2-3个月，南京银行一直在催款，说不还就起诉，从借款到现在从未逾期过，现在因疫情确实困难需要缓缓，一直在沟通，南京银行态度非常坚决，坚决不予协商，打电话直接问地址寄律师函，从南京银行贷款10万，今年11月份还清，从未逾期，疫情导致还款困难，没想到南京银行是这样子操作的，今日接到同事电话，说直接到单位找我，极大影响到工作，如果失业这部分损失谁来认
 鑫梦享收取高额违约金,南京银行鑫梦享,2022年05月27日 10:24, 取消违约金,2019年10月本人向南京银行申请一笔消费贷款（利率18% ，48期），迄今已按时还款30期，现考虑申请提前还款，可是现在南京银行告知我承担剩余未还本金（109***.63元）5%的违约金！当时业务专员没有告知未知风险，没有说明鑫梦享提前还款需要支付违约金，存在诱骗误导情形。且疫情原因导致本人的还款能力急剧下降， 剩余本金也是拼凑起来想还给银行不做失信人，难道南京银行这样操作是想让贷款坏账让我成为失信人员吗。在大环境这样的情况下对南京银行保持很大的质疑，并将会向银保监投诉。望贵平台能帮处理，让其取消不合理的违约金！感激不尽！
" 服务不到位,按时还款。不给下款。,从未逾期",南京银行鑫梦享,2022年05月25日 22:12," 改善服务,给予下款不要拒了行不",今天晚上想着提前还清还推后一下还款日期。疫情毕竟孩子爸爸丢了工作。刚刚找到肯定需要一点周转资金啊。你们这样搞什么？早说不给下款我就不需要全部还清啊。请客服尽快处理我的申请。给与下款。谁都有困难的时候。我没有逾期你们搞什么？
" 充值不成功,退款不及时",南京银行鑫梦享,2022年05月25日 21:45," 退款,解释",帮忙核实到底什么原因没有退款，中行反馈银行收到退款会立即退还给我
 统一协商还款方案,南京银行鑫梦享,2022年05月25日 16:15, 统一还款方案，停催,2022年2月在黑猫平台投诉过南京银行，本来协商好停催三个月，三个月后看本来资金情况还款，先结清几笔循环贷，这是南京银行客服给的方案，我接受了，现在我打电话给南京银行，及唯品会，协商先结清前面3笔贷款，约四千多。后面的希望给再分期。现在南京银行客服不认可了，说当时说的是三个月后要一次性还清所有。我有录音，客服让我上传到鑫梦想公众号，但是现在一直显示公众号故障。如果我三个月能结清三万多，我当时就不用来协商了，为何换一个客服，一种说法。我也是着急想还清，本来受疫情影响，没有加班，工资降低一半，现在每个月领4000块，及有多个平台也都贷不出来要还款，家里还有小孩要养，平时下班积极找兼职做，谁也不想欠钱不还，现在只能跟南京银行好好协商，给一个都认可的方案来还款。我希望能给24期，分期还清，或者给延期一年时间，到时候一次性还清。罚息可否减免，因为罚息太高，到时候一样还不起。恳请南京银行给个回复。
 跨区域高息放贷,南京银行鑫梦享,2022年05月25日 14:19," 退款,赔偿,道歉,作出处罚,解释,下架产品",南京银行与360借条合作违规放贷，高息放贷，恶意催债
" 利息太高,利息太高",南京银行鑫梦享,2022年05月25日 13:38, 延期还款，利息下调，,疫情期间，没有工作，在家待着，饭都吃不上了，结果催收的说必须还，利息高的吓人，怎么还？不符合国家规定，要么就要暴我的通讯录，精神崩溃中……利息太高了，贷款10万，利息5万左右，当初办贷款的时候办理人员还拿走了8000的手续费
" 虚假宣传,私自扣款",南京银行鑫梦享,2022年05月25日 03:25, 退款,我于2022年5月23日，通过宣传接触到南京鑫梦想办理贷款，业务人员以低息诱导我，同时收取高额服务费8000元。要求退还服务费
 利息罚金高,南京银行鑫梦享,2022年05月23日 19:53, 停息挂账 减免罚金利,分期本金7000多，逾期一年现在利息+罚息+本金共13000多，希望减免 重做分期
 功能限制,南京银行鑫梦享,2022年05月23日 16:41," 解释,改善服务",没有在本人去南京银行的办理，他们和分期乐给我开通了电子银行卡，无法使用违法了银行办理银行卡的相关规定
 虚假宣传,南京银行鑫梦享,2022年05月21日 12:32, 退款,其实很多人借过都会知道其中猫腻，当时说利息会很低，但是还的时候年化达到14%利息达到1分2太气人了
 虚假宣传高利放贷,南京银行鑫梦享,2022年05月21日 08:14, 降低利息,本人因为自身原因急需用钱，所以通过金融公司知道了鑫梦享贷款，工作人员给我介绍的时候说这款贷款是属于信用贷，利息不高于3%，当时在现场也给我算了如果贷15万一个月的利息大概是多少，因为这样感觉自己是可以承担的，但是等签完合同放完款告诉我利息是9%年化就相当于18%，一个月还款的利息都和本金差不多了，利息高得过于离谱。当时我问工作人员他说不用看合同显示的实际没那么多的，但是开始还款时就是按照年利率18%来计算的。我也在每月按期还款，上个月我提前还款收违约金600多，提前还收钱太黑了，借钱还利息这是应该的我能接受，但是他们这个贷款利息高的太离谱了，有点像民间高利贷了，一个月本金和利息都差不多，疫情期间本人希望南京银行作为一个地方银行能为老百姓多考虑，别一味地谋取暴利，能够降低利息，为人民带来一定的便利，解决燃眉之急
 免除违约金,南京银行鑫梦享,2022年05月21日 07:02, 改善服务,本人2月份在鑫梦享贷20000，因本人无力偿还，上海疫情已经两个月没有上班，所以想申请借钱还本金，可还需要高额的违约金，打给业务员，到现在没有回复我
 免除违约金,南京银行鑫梦享,2022年05月18日 20:44, 改善服务,本人在鑫梦享贷了十五万，当时贷款经理要我以个人名义去贷款教了我应对视频各种话术，至今还了五个月，因利息太高，差不多每个月还5400多，利息就要2000多，加上上海疫情影响连着两个月的0收入，实在还不上贷款，现在想提前还款还要收取利息和违约金，实在没有办法了，提前还款请求撤销违约金和利息！
" 虚假宣传,欺诈",南京银行鑫梦享,2022年05月17日 23:09," 退款,解释,赔偿",2020年7月，因为急缺钱在网上找得贷款，是平安银行线下人员过来，因为我需要额度大，不想多家贷款，那个人员申请了好多家银行都没有找到我需要的钱，+然后电话联系的南京鑫梦享内部人员做线上申请，称自己有人，+可以把利息降低到年化5%，称提前还款违约金1%，在贷款中有线上面测试环节还要监控我，一直给我开着视频，教我可能问道的问题，怎么回答，+不让我问任何问题，说贷款不出来别怪自己，因缺钱，感觉人还挺好，没有多想，面侧的时候就什么都没有问，也不知道利息多少，是否支持提前还款，有没有违约金，贷款完毕后问我要4500元的服务费，我起疑心，查询计算利息，根本就不是这人说的年化5%，而是%10多得年化，了解到提前还款有5%的违约金，一开始还款的利息特别高+我要得是等额等息，出来的事等额本息，前期利息特别高，用到现在利息已经给了25000+，提前还款还有违约金5%，诱导我说是1%，随时提前还，时候威胁我，恐吓我，加微信，打电话，找多个人半夜打电话，约我出去，要到公司上门，因为害怕协商无果，期间利诱我说是可以给我降低利息，降低提前还款的违约金，我是不打算用这笔钱的一开始，+因为不是我想要得，南京银行称需要6个月以后支持还款，+一个月光利息就1400多，我用六个月利息，接违约金，加服务费，15万用六个月综合高达2-3万，合伙欺诈，霸王条款，+我反馈过一次，南京说是可以不要违约金，但是需要使用6个月，但是哪个人员承诺我的年化5%那，+等额等息那，+期间还被威胁，给我公司打电话，半夜骚扰我，约我出去，+让我等着，精神压力，精神损失，金钱损失怎么算，浪费时间，恐吓我好久都没敢去上班，现在反馈是我怕报复，之前不敢，我属于北漂，没有背景，想着已经这么久了，+也应该把这个问题解决一下了，投诉是解决问题，+不希望我的生活在因为投诉收到影响，不然一定会报警维权。1，平安银行的线下人员为什么可以操作鑫梦享系统，在还没有贷款出来期间给我截图星梦享后台信息。2，因贵公司制度不严格，让三方人员介入，造成本人经济损失，精神损失如何计算。3，因疫情，自身条件，违背我贷款的方式导致利息很高虽然还了2年了本金才还了6万，，现在我已经严重抑郁，感觉约还越多。4，贵公司6个月才能提前还款是否符合国家要求，是否知道在自己制度不严格的情况下会成为其他人的帮凶吗？5，此问题我会反馈监管部门，
 消费n豆未发放,南京银行鑫梦享,2022年05月16日 14:26, 赔偿,5月4日10点之后消费，按照n卡打卡规则，10点后的的消费算第二天的消费，早在我刚开始用n卡的时候客服明确告诉我10点后的消费算第二天的消费，那么就应该6号打卡，但是6号显示无法打卡，消费n豆未发放导致断签，要求返还100n豆和满14天的京东e卡，已经电话投诉过了但是一直没有人回访，已经10天过去了，现在我要开始重新打卡了，要求返还100n豆和满14天的京东e卡
" 不予退款,办理信用卡不给退,办理信用卡399押金",南京银行鑫梦享,2022年05月13日 17:47," 退款,道歉,作出处罚",办理信用卡要399押金信用卡为办理押金也不给退现在联系不到对方银行尾号3547
" 违规催收，威胁恐吓,投诉拒不处理",南京银行鑫梦享,2022年05月12日 19:24, 赔礼道歉，妥善处理,百度有钱花通过在西瓜视频、快手等平台投放广告有所接触，正值有事需要用钱，于是通过百度有钱花APP办理了网络贷款。一直按时足额还款，彼此相安无事。自2021年年中开始，由于疫情持续影响，导致账单逾期，百度有钱花平台通过虚拟号码无数次联系本人及其家人（非紧急联系人）、同事（注册时APP需要读取本人通讯录）恶意夸大事实，给本人名誉造成影响，本人也多次正告平台，希望合法合规进行沟通，然而事与愿违，无奈通过中国互联网金融协会进行举报，仍无任何改进。时至今日，本人再次接到自称南京银行委托方的工作人员，要求本人立即归还剩余款项，对于此前违规催收等行为不以为然，态度自傲，视国家法律法规于不顾，遂再次举报南京银行，希望能够正视问题，合理解决。
 恐吓威胁,南京银行鑫梦享,2022年05月10日 17:27, 作出处罚,本人去年申请的南京银行5000元贷款，还了一期后由于疫情居家隔离45天至今还在隔离，第三方催收人员恶意发短信恐吓威胁，并不给我任何解释的机会，如果我真不想还我不会第一期还了400多元钱，5000元钱12期分期，手续费差不多就5-600元钱，利息收这么多我不说什么，那为什么疫情期间其它银行都有相关的延期政策，为什么你们南京银行还要苦苦相逼了。有钱我会不还吗。请给我一个解释？
 暴力催收,南京银行鑫梦享,2022年05月10日 16:31, 停止催收,本人在度小满金融借款两万多元，出资方为南京银行，本人由于疫情原因，导致没有资金处理还款，已与度小满平台协商还款，度小满已同意，不会在催收，但南京银行已自己为出资方为由，暴力催收，天天打电话发信息，已对本人生活造成困扰，要求停止催收！
 虚假宣传,南京银行鑫梦享,2022年05月09日 12:34, 退款,我相信看到这里都是入坑且没有办法的人，利息高的吓人，提前还款还收违约金，严重怀疑这是银行？
" 客服服务态度差,催收态度恶劣",南京银行鑫梦享,2022年05月07日 10:04," 改善服务,停催",在唯品会唯品会借钱了，资金方是南京银行，现在疫情很困难，过年到现在都没收入，还欠有房租没交，吃饭都困难了，现在全身也就几十块了，也没有钱去还借款，但是也一直和催收人员说我会还钱，现在没收入还不了，等缓过来了再还，但是南京银行的催收人员态度恶劣，很差，很凶一直说十几分钟，我想协商还款，就是缓几个月，她们就特别凶，一直叫我还，投诉到南京银行，南京银行的客服也是态度恶劣，都说了吃饭都成问题了，他还一直不停叫我还，我不是不想还，是我实在没有钱，拿什么去还，一个男的这样来逼迫一个女人，你是要我跳楼吗，你们这样逼迫我，没有一点同情心吗，早餐都只能吃一块5的包子，还只能买一个，都困难到什么程度了，这么困难我都没说不还钱，等疫情好转，过几个月，我能存点钱就慢慢还上
" 合作商户不诚信,虚假宣传,利息太高,违约金太高",南京银行鑫梦享,2022年05月06日 14:33, 改善服务,本人通过中介上海问归信人员在鑫梦享贷了五万，当时贷款中介要我以个人名义去贷款还教了我一些话术，服务费收取了一万整，至今还了二个月，因利息太高加上疫情影响后续还不上贷款，现在想提前还款还要收取利息和违约金，实在没有办法了，提前还款请求撤销违约金和利息！
 利率过高，偿还本金,南京银行鑫梦享,2022年05月04日 22:52," 退款,解释,改善服务,赔偿",本人在2020-12-13日在分期乐南京银行乐花卡转账2900元，利息费1038元，这是何等恐怖的利率啊，明摆违反国家规定做高利贷，要求偿还本金，退还高利贷，维权到底.
 收费高额违约金,南京银行鑫梦享,2022年05月04日 22:16, 提前还款且去除服务费,本来于2021年接到推销电话，期间以低息利诱，当时贷款中介查了我的社保消息，交了我一些话术用来应对工作人员，放贷后中介收了我两千多手续费，且放贷类型为家装，利率和贷款中介说的不一样，现在被家里知道了，给了我钱提前还款，我现在才第四期，过两天第五期，不仅六期前无法还款，后续还款还收取高额手续费，试问哪个银行可以这种操作，现在我的诉求是要求马上可以还款，且后续没有5%的手续费
 乱收费,南京银行鑫梦享,2022年04月30日 06:00, 收取服务费,利息本来就很高 还收取服务费 太黑了 取消服务费
 暴力催收,南京银行鑫梦享,2022年04月27日 20:33, 停止暴力催收,本人因在分期乐乐花借钱逾期，该款项为南京银行放款，本人正在遭受分期乐公司不法催收。目前根据分期乐方提供的数据，本人目前需还清借款6429.17元。分期乐电联本人说应放款方南京银行要求，要上公司进行讨债，该行为对本人造成恐吓，同时会侵犯本人个人隐私，属于暴利催收。
" 协商分期还款，停止催,协商分期还款停止催收",南京银行鑫梦享,2022年04月26日 22:22," 改善服务,真心协商,停止暴力催收",唯品会金融（南京银行）催收人员态度恶劣 因为洪水疫情原因导致逾期，后又遇老公被裁员，我在家带两个孩子外加给亲戚兼职每个月挣3000元，老公之前收入可观可以正常还款，自从遇到裁员以后经济能力下降，从年后才开始逾期，之前每一期都有主动还上。现在老公在工地上一边给别人打小工一边找工作，我们要养两个孩子，现在只能维持基本生活，开始逾期以后就多次主动跟唯品会还有南京银行打电话协商 ，都不愿意协商 ，也说了一旦有钱就马上还进去 给点时间 ，并说明每个月想先还一千，等老公工作稳定就会把金额都还进去，可是催收人员根本不听我的原因，只要几天内全部还进去，多次沟通无果，只希望南京银行能够延期协商还款，催收人员每天多个电话骚扰对本人造成严重的心理困扰 ，影响正常工作及生活。催收现在又是威胁要起诉我 态度特别差 现要求停止软暴力催收，协商还款事宜。本人是有强烈还款意向的，对方总是让我想办法找人借，领导们，我如果还能借来，试想会用咱百分之19.8的利息吗？接到催收电话我问他哪个公司的，能代表南京银行吗？他不回答。我希望南京银行相关领导能够体谅疫情期间消费者的难处，我有强烈的还款意愿，我希望贵行也能坦诚以待，根据（商业银行监督管理办法）第70条规定，当超出还款能力且有还款意愿时可以与银行协商达成个性化分期，我不需要60期，我只需要南京银行让我喘口气，批准我分24期还款，并减免部分利息，让我有信心及时足额结清欠款。尊敬的南京银行领导们！作为债务人，我一直都会保存积极端正的心态对待，我不想做失信人，也请贵平台能给于我支持，谢谢。
 协商不了，不予回馈,南京银行鑫梦享,2022年04月26日 20:21, 延期半个月或二次分期,我在2021年4月20号在南京银行你好e贷借了10万先息后本，到2022年4月25号归还本金，但是我因疫情原因隔离在外省回不了北京，导致资金链断裂，没有归还本金的能力，第一时间给南京银行打电话协商，对方说处理不了，一直让我等待回访，到逾期也没有人给我回访，希望南京银行能延期半个月或者二次分期，我愿意去归还这个钱
 所谓律师函真伪,南京银行鑫梦享,2022年04月26日 11:59, 解释,我于2021年8月3日度小满申请了一笔贷款，之前一直正常使用正常还款没有预期，今年因为疫情导致整个公司资金举步维艰，停工停产，已经还了一半了导致目前暂时出现困难还不上，2022年4月26日收到一封自称南京银行委托江苏千树律师事务所的律师函，要求还款，第一，我没失联，可以联系本人，而且我也打了电话咨询了南京银行，确实遇到了公司资金周转困难，和南京银行协商。南京银行说他们也不知道这个机构是不是他们自己的委托，所以我严重怀疑该机构虚假信息，恶意，请南京银行赔礼道歉，协商延期还款，金额本来不多，再加上疫情反反复复，首先要活着才有希望。
" 合作商户不诚信,虚假宣传,需要减免利息和本金,需要减免利息和本金",南京银行鑫梦享,2022年04月26日 01:29, 解释,我4.21号去办理，当时和金经理说的只要十二万，但是款放下来是十五万，然后被他们划去了三万，说是服务费，服务费高也就算了，我只拿到了十二万，为什么要我付十五万的利息和本金，而且年利率也和他们说的不一样，而且单上也月利息和年利率都没有填，现在我因为被骗，还不起这么多，希望银行处理一下，减去本金和多余的利息，协商还款，我也会努力争取早点还上，这是他们要我转帐的记录！还有银行经理张经理，工号0100601***，
" 客服不处理,暴力催收骚扰父母",南京银行鑫梦享,2022年04月22日 12:21," 作出处罚,改善服务,协商还款",本人在国美易卡借了欠款逾期了，是有南京出资的，因为疫情原因失业在家没有了收入来源，在家照顾孩子，贷后部分暴力催收父母，骚扰导致父母每天焦虑心神不宁身体状态不好，给客服多次反馈无果，现在请求平台帮助协商还款问题。
 购买京东e卡未到账,南京银行鑫梦享,2022年04月22日 10:07, 立即到账,参与南京银行一分钱加5000积分购买10元京东e卡一直未到账。两个账号。订单显示已完成，但是没有卡密，也没收到相关短信。
 违规催收,南京银行鑫梦享,2022年04月21日 14:50," 作出处罚,停催",甲方违规给贷款人的朋友打电话，泄露贷款人个人信息给第三方，违法【互联网催收自律公约】第十条、第十三条、第十七条、第十八条，有录音为证，申请依法处理
